id,field,current_structured,value_in_research_notes,category,snippet
X00284,death,1778-?-?,1778-06-12,clean,"; d. Jun 12, 1778 W"
X00285,birth,1738-?-?,1738-09-06,clean,"b. Sep 6, 1738 C"
X00285,death,1816-?-?,1816-01-16,clean,"; d. Jan 16, 1816 T"
X00286,death,1775-?-?,1775-12-24,clean,"; d. Dec 24, 1775 W"
HD1018,death,1812-?-?,1812-04-02,clean,"; d. Apr 2, 1812 W"
HD1019,birth,1775-?-?,1775-09-14,clean,"b. Sep 14, 1775 K"
HD1019,death,1866-?-?,1866-07-18,clean,"; d. Jul 18, 1866 C"
X00287,birth,1782-?-?,1782-07-15,clean,"b. Jul 15, 1782 F"
X00287,death,1846-?-?,1846-10-28,clean,"; d. Oct 28, 1846."
HD1020,birth,1808-?-?,1808-01-31,clean,"b. Jan 31, 1808 P"
HD1020,death,1881-?-?,1881-02-03,clean,"; d. Feb 3, 1881 O"
HD1021,birth,1837-?-?,1837-11-30,clean,"b. Nov 30, 1837 O"
HD1021,death,1920-?-?,1920-01-31,clean,"; d. Jan 31, 1920 C"
X00289,birth,1835-?-?,1835-04-26,clean,"b. Apr 26, 1835 H"
X00289,death,1914-?-?,1914-03-25,clean,"; d. Mar 25, 1914 E"
HD1022,birth,1859-?-?,1859-06-28,clean,"b. Jun 28, 1859 S"
HD1022,death,1940-?-?,1940-03-05,clean,"; d. Mar 5, 1940 T"
HD1023,birth,1901-?-?,1901-08-09,clean,"b. Aug 9, 1901 N"
HD1023,death,1968-?-?,1968-07-08,clean,"; d. Jul 8, 1968 S"
X00291,birth,1907-?-?,1907-02-07,clean,"b. Feb 7, 1907 I"
X00291,death,1993-?-?,1993-01-20,clean,"; d. Jan 20, 1993 J"
X00292,birth,1768-?-?,1768-08-25,clean,"b. Aug 25, 1768;"
X00292,death,1853-?-?,1853-04-19,clean,"; d. Apr 19, 1853 H"
HD1026,birth,1785-?-?,1785-11-09,clean,"b. Nov 9, 1785 L"
HD1026,death,1874-?-?,1874-12-19,clean,"; d. Dec 19, 1874 C"
HD1027,birth,1826-?-?,1826-04-19,clean,"b. Apr 19, 1826 N"
HD1027,death,1905-?-?,1905-09-21,clean,"; d. Sep 21, 1905 O"
X00294,death,1919-?-?,1919-07-29,clean,"; d. Jul 29, 1919."
HD1028,birth,1860-?-?,1860-06-19,clean,"b. Jun 19, 1860 C"
HD1028,death,1903-?-?,1903-02-04,clean,"; d. Feb 4, 1903 O"
X00295,birth,1862-?-?,1862-06-16,clean,"b. Jun 16, 1862 N"
X00295,death,1902-?-?,1902-05-25,clean,"; d. May 25, 1902 N"
HD1029,birth,1889-?-?,1889-11-20,clean,"b. Nov 20, 1889 C"
HD1029,death,1935-?-?,1935-03-18,clean,"; d. Mar 18, 1935 B"
X00296,birth,1897-?-?,1897-11-03,clean,"b. Nov 3, 1897 B"
X00296,death,1983-?-?,1983-03-23,clean,"; d. Mar 23, 1983 M"
X00297,death,1805-?-?,1805-06-03,clean,"; d. Jun 3, 1805 L"
HD1037,birth,1792-?-?,1792-08-25,clean,"b. Aug 25, 1792 A"
HD1037,death,1835-?-?,1835-12-07,clean,"; d. Dec 7, 1835 O"
X00300,birth,1740-?-?,1740-03-17,clean,"b. Mar 17, 1740 N"
X00300,death,1820-?-?,1820-03-20,clean,"; d. Mar 20, 1820 M"
H00761,birth,1763-?-?,1763-01-11,clean,"b. Jan 11, 1763."
H00763,birth,1765-?-?,1765-04-09,clean,"b. Apr 9, 1765;"
H00763,death,1850-?-?,1850-03-30,clean,"; d. Mar 30, 1850 a"
X00301,death,1827-?-?,1827-10-05,clean,"d. Oct 5, 1827 W"
H00768,birth,1782-?-?,1782-12-12,clean,"b. Dec 12, 1782 W"
H00768,death,1872-?-?,1872-06-18,clean,"; d. Jun 18, 1872 P"
X00303,birth,1774-?-?,1774-05-30,clean,"b. May 30, 1774 W"
X00303,death,1845-?-?,1845-07-24,clean,"; d. Jul 24, 1845 P"
HD1038,birth,1773-?-?,1773-03-05,clean,"b. Mar 5, 1773 M"
HD1038,death,1842-?-?,1842-04-03,clean,"; d. Apr 3, 1842 W"
HD1039,birth,1815-?-?,1815-04-04,clean,"b. Apr 4, 1815 G"
HD1039,death,1887-?-?,1887-02-18,clean,"; d. Feb 18, 1887 W"
HD1040,death,1883-?-?,1883-11-04,clean,"; d. Nov 4, 1883 N"
X00304,birth,1810-?-?,1810-08-10,clean,"b. Aug 10, 1810;"
X00304,death,1857-?-?,1857-05-09,clean,"; d. May 9, 1857 N"
HD1041,birth,1841-?-?,1841-05-02,clean,"b. May 2, 1841 N"
HD1041,death,1864-?-?,1864-05-10,clean,"; d. May 10, 1864 F"
HD1042,birth,1842-?-?,1842-05-28,clean,"b. May 28, 1842 L"
H00777,birth,1783-?-?,1783-04-19,clean,"b. Apr 19, 1783 T"
H00777,death,1865-?-?,1865-11-11,clean,"; d. Nov 11, 1865 T"
X00305,birth,1781-?-?,1781-08-14,clean,"b. Aug 14, 1781 D"
X00305,death,1863-?-?,1863-07-05,clean,"; d. Jul 5, 1863."
HD1043,birth,1803-?-?,1803-09-04,clean,"b. Sep 4, 1803."
HD1044,birth,1805-?-?,1805-09-04,clean,"b. Sep 4, 1805."
HD1045,birth,1807-?-?,1807-10-29,clean,"b. Oct 29, 1807;"
X00306,birth,1815-?-?,1815-04-25,clean,"b. Apr 25, 1815 O"
X00306,death,1857-?-?,1857-11-17,clean,"; d. Nov 17, 1857."
HD1046,birth,1810-?-?,1810-04-02,clean,"b. Apr 2, 1810."
HD1047,birth,1812-?-?,1812-12-25,clean,"b. Dec 25, 1812."
H00779,birth,1791-?-?,1791-09-17,clean,"b. Sep 17, 1791 W"
H00779,death,1870-?-?,1870-03-11,clean,"; d. Mar 11, 1870 G"
X00307,birth,1787-?-?,1787-12-26,clean,"b. Dec 26, 1787 W"
X00307,death,1870-?-?,1870-09-22,clean,"; d. Sep 22, 1870 W"
HD1048,birth,1821-?-?,1821-03-29,clean,"b. Mar 29, 1821 G"
HD1048,death,1902-?-?,1902-09-11,clean,"; d. Sep 11, 1902 W"
X00308,birth,1823-?-?,1823-10-03,clean,"b. Oct 3, 1823 W"
HD1049,birth,1860-?-?,1860-02-13,clean,"b. Feb 13, 1860 W"
HD1049,death,1952-?-?,1952-09-26,clean,"; d. Sep 26, 1952 M"
X00309,birth,1854-?-?,1854-05-13,clean,"b. May 13, 1854 D"
X00309,death,1912-?-?,1912-09-03,clean,"; d. Sep 3, 1912 M"
HD1050,birth,1895-?-?,1895-01-28,clean,"b. Jan 28, 1895 M"
HD1051,birth,1786-?-?,1786-08-03,clean,"b. Aug 3, 1786 M"
HD1051,death,1829-?-?,1829-03-26,clean,"; d. Mar 26, 1829 M"
HD1052,birth,1814-?-?,1814-03-04,clean,"b. Mar 4, 1814 M"
HD1052,death,1863-?-?,1863-11-17,clean,"; d. Nov 17, 1863 N"
HD1053,death,1899-?-?,1899-08-02,clean,"; d. Aug 2, 1899 D"
HD1054,birth,1876-?-?,1876-05-27,clean,"b. May 27, 1876 N"
HD1054,death,1972-?-?,1972-01-15,clean,"; d. Jan 15, 1972 a"
HD1055,birth,1905-?-?,1905-12-25,clean,"b. Dec 25, 1905;"
X00310,birth,1758-?-?,1758-01-09,clean,"b. Jan 9, 1758 W"
X00310,death,1819-?-?,1819-09-01,clean,"; d. Sep 1, 1819 H"
X00312,birth,1736-?-?,1736-07-08,clean,"b. Jul 8, 1736 H"
H00786,birth,1759-?-?,1759-12-02,clean,"b. Dec 2, 1759 H"
H00787,birth,1761-?-?,1761-07-05,clean,"b. Jul 5, 1761 H"
H00787,death,1762-?-?,1762-09-14,clean,"; d. Sep 14, 1762 a"
X00313,birth,1746-?-?,1746-03-22,clean,"b. Mar 22, 1746 K"
X00313,death,1791-?-?,1791-11-04,clean,"; d. Nov 4, 1791 a"
X00314,birth,1754-?-?,1754-12-06,clean,"b. Dec 6, 1754 K"
X00314,death,1832-?-?,1832-09-18,clean,"; d. Sep 18, 1832 B"
X00315,birth,1738-?-?,1738-04-17,clean,"b. Apr 17, 1738 H"
X00315,death,1764-?-?,1764-04-14,clean,"; d. Apr 14, 1764 H"
X00316,birth,1755-?-?,1755-01-13,clean,"b. Jan 13, 1755 S"
HD1056,birth,1785-?-?,1785-06-12,clean,"b. Jun 12, 1785;"
HD1056,death,1821-?-?,1821-11-04,clean,"; d. Nov 4, 1821."
HD1057,birth,1788-?-?,1788-07-16,clean,"b. Jul 16, 1788;"
HD1057,death,1809-?-?,1809-02-05,clean,"; d. Feb 5, 1809 a"
HD1058,birth,1790-?-?,1790-05-11,clean,"b. May 11, 1790;"
HD1058,death,1821-?-?,1821-11-16,clean,"; d. Nov 16, 1821 a"
HD1059,birth,1794-?-?,1794-01-21,clean,"b. Jan 21, 1794;"
HD1060,birth,1796-?-?,1796-09-10,clean,"b. Sep 10, 1796."
HD1061,birth,1798-?-?,1798-03-12,clean,"b. Mar 12, 1798;"
HD1062,birth,1800-?-?,1800-05-22,clean,"b. May 22, 1800."
X00317,birth,1743-?-?,1743-07-14,clean,"b. Jul 14, 1743;"
X00317,death,1765-?-?,1765-04-19,clean,"; d. Apr 19, 1765 W"
H00793,birth,1763-?-?,1763-11-30,clean,"b. Nov 30, 1763 W"
H00793,death,1781-?-?,1781-03-20,clean,"; d. Mar 20, 1781 W"
H00794,birth,1785-?-?,1785-09-04,clean,"b. Sep 4, 1785 W"
H00795,birth,1787-?-?,1787-07-30,clean,"b. Jul 30, 1787 W"
H00800,birth,1798-?-?,1798-02-10,clean,"b. Feb 10, 1798 W"
H00800,death,1877-?-?,1877-03-21,clean,"; d. Mar 21, 1877 M"
X00321,birth,1750-?-?,1750-10-25,clean,"b. Oct 25, 1750 W"
X00321,death,1813-?-?,1813-11-09,clean,"; d. Nov 9, 1813 H"
H00802,birth,1771-?-?,1771-11-26,clean,"b. Nov 26, 1771 W"
H00805,birth,1778-?-?,1778-02-16,clean,"b. Feb 16, 1778 W"
H00806,birth,1780-?-?,1780-08-06,clean,"b. Aug 6, 1780 W"
H00807,birth,1784-?-?,1784-07-03,clean,"b. Jul 3, 1784 W"
H00807,death,1868-?-?,1868-04-24,clean,"; d. Apr 24, 1868 P"
H00808,birth,1786-?-?,1786-11-06,clean,"b. Nov 6, 1786 W"
H00808,death,1814-?-?,1814-05-15,clean,"; d. May 15, 1814 H"
X00322,birth,1774-?-?,1774-04-03,clean,"b. Apr 3, 1774 W"
X00322,death,1825-?-?,1825-06-22,clean,"; d. Jun 22, 1825 B"
HD1063,birth,1806-?-?,1806-09-11,clean,"b. Sep 11, 1806 H"
HD1063,death,1886-?-?,1886-10-06,clean,"; d. Oct 6, 1886 W"
HD1064,birth,1812-?-?,1812-03-02,clean,"b. Mar 2, 1812 H"
HD1064,death,1889-?-?,1889-10-06,clean,"; d. Oct 6, 1889 C"
X00323,death,1889-?-?,1889-07-03,clean,"; d. Jul 3, 1889 C"
H00809,birth,1785-?-?,1785-03-09,clean,"b. Mar 9, 1785 L"
H00809,death,1868-?-?,1868-05-09,clean,"; d. May 9, 1868 N"
H00810,birth,1787-?-?,1787-01-29,clean,"b. Jan 29, 1787 L"
H00811,birth,1789-?-?,1789-01-03,clean,"b. Jan 3, 1789 L"
H00812,birth,1790-?-?,1790-12-02,clean,"b. Dec 2, 1790 L"
H00814,birth,1795-?-?,1795-07-11,clean,"b. Jul 11, 1795 N"
H00815,birth,1797-?-?,1797-08-20,clean,"b. Aug 20, 1797 N"
H00816,birth,1800-?-?,1800-10-15,clean,"b. Oct 15, 1800 F"
H00817,birth,1802-?-?,1802-08-17,clean,"b. Aug 17, 1802 N"
H00817,death,1877-?-?,1877-05-05,clean,"; d. May 5, 1877 N"
H00818,birth,1805-?-?,1805-03-23,clean,"b. Mar 23, 1805 N"
H00819,birth,1807-?-?,1807-04-23,clean,"b. Apr 23, 1807 N"
X00325,birth,1778-?-?,1778-10-15,clean,"b. Oct 15, 1778 E"
X00325,death,1828-?-?,1828-08-15,clean,"; d. Aug 15, 1828 F"
X00330,birth,1798-?-?,1798-07-28,clean,"b. Jul 28, 1798 L"
HD1066,birth,1803-?-?,1803-08-30,clean,"b. Aug 30, 1803;"
HD1067,death,1829-?-?,1829-09-13,clean,"; d. Sep 13, 1829 a"
HD1068,birth,1807-?-?,1807-11-24,clean,"b. Nov 24, 1807;"
HD1069,birth,1810-?-?,1810-05-11,clean,"b. May 11, 1810;"
HD1070,birth,1812-?-?,1812-01-22,clean,"b. Jan 22, 1812;"
HD1071,birth,1813-?-?,1813-12-20,clean,"b. Dec 20, 1813;"
HD1071,death,1814-?-?,1814-01-27,clean,"; d. Jan 27, 1814 a"
HD1072,birth,1814-?-?,1814-10-15,clean,"b. Oct 15, 1814;"
HD1072,death,1815-?-?,1815-09-20,clean,"; d. Sep 20, 1815 a"
HD1073,birth,1816-?-?,1816-01-24,clean,"b. Jan 24, 1816;"
HD1074,birth,1818-?-?,1818-03-13,clean,"b. Mar 13, 1818;"
HD1075,birth,1820-?-?,1820-12-13,clean,"b. Dec 13, 1820;"
HD1076,birth,1824-?-?,1824-04-03,clean,"b. Apr 3, 1824;"
HD1076,death,1886-?-?,1886-05-20,clean,"; d. May 20, 1886 N"
HD1101,birth,1825-?-?,1825-04-01,clean,"b. Apr 1, 1825 L"
HD1102,birth,1827-?-?,1827-11-09,clean,"b. Nov 9, 1827 R"
HD1102,death,1858-?-?,1858-11-09,clean,"; d. Nov 9, 1858 P"
HD1103,birth,1830-?-?,1830-03-15,clean,"b. Mar 15, 1830 B"
HD1104,birth,1832-?-?,1832-09-08,clean,"b. Sep 8, 1832 T"
HD1105,birth,1835-?-?,1835-01-29,clean,"b. Jan 29, 1835 T"
HD1106,birth,1839-?-?,1839-01-07,clean,"b. Jan 7, 1839;"
HD1107,birth,1826-?-?,1826-12-05,clean,"b. Dec 5, 1826."
HD1108,birth,1828-?-?,1828-11-17,clean,"b. Nov 17, 1828."
HD1109,birth,1831-?-?,1831-03-27,clean,"b. Mar 27, 1831."
HD1110,birth,1833-?-?,1833-08-17,clean,"b. Aug 17, 1833."
HD1111,birth,1839-?-?,1839-05-12,clean,"b. May 12, 1839."
HD1112,birth,1842-?-?,1842-05-24,clean,"b. May 24, 1842;"
HD1112,death,1867-?-?,1867-07-28,clean,"; d. Jul 28, 1867."
HD1113,birth,1836-?-?,1836-10-22,clean,"b. Oct 22, 1836."
HD1114,birth,1845-?-?,1845-08-16,clean,"b. Aug 16, 1845."
X00333,birth,1738-?-?,1738-03-09,clean,"b. Mar 9, 1738 H"
X00333,death,1820-?-?,1820-09-21,clean,"; d. Sep 21, 1820 W"
X00336,birth,1774-?-?,1774-09-24,clean,"b. Sep 24, 1774 M"
X00336,death,1860-?-?,1860-04-04,clean,"; d. Apr 4, 1860 W"
HD1126,birth,1825-?-?,1825-08-08,clean,"b. Aug 8, 1825;"
HD1126,death,1903-?-?,1903-12-10,clean,"; d. Dec 10, 1903 a"
X00338,birth,1824-?-?,1824-01-23,clean,"b. Jan 23, 1824 T"
X00338,death,1904-?-?,1904-05-07,clean,"; d. May 7, 1904 a"
HD1127,birth,1852-?-?,1852-02-22,clean,"b. Feb 22, 1852 N"
HD1127,death,1942-?-?,1942-11-08,clean,"; d. Nov 8, 1942 W"
X00339,birth,1855-?-?,1855-08-25,clean,"b. Aug 25, 1855 W"
X00339,death,1924-?-?,1924-10-06,clean,"; d. Oct 6, 1924 W"
HD1129,birth,1891-?-?,1891-06-10,clean,"b. Jun 10, 1891 E"
HD1129,death,1977-?-?,1977-11-15,clean,"; d. Nov 15, 1977 N"
X00340,birth,1879-?-?,1879-10-24,clean,"b. Oct 24, 1879 M"
HD1130,birth,1906-?-?,1906-09-09,clean,"b. Sep 9, 1906 M"
HD1130,death,2004-?-?,2004-02-11,clean,"; d. Feb 11, 2004 W"
HD1131,birth,1908-?-?,1908-05-07,clean,"b. May 7, 1908 M"
HD1131,death,1977-?-?,1977-04-01,clean,"; d. Apr 1, 1977 W"
HD1132,birth,1909-?-?,1909-10-24,clean,"b. Oct 24, 1909 S"
HD1132,death,1988-?-?,1988-07-28,clean,"; d. Jul 28, 1988 O"
HD1133,birth,1915-?-?,1915-10-01,clean,"b. Oct 1, 1915 S"
HD1133,death,1970-?-?,1970-09-22,clean,"; d. Sep 22, 1970 H"
HD1135,birth,1938-?-?,1938-06-18,clean,"b. Jun 18, 1938 W"
HD1136,birth,1939-?-?,1939-09-06,clean,"b. Sep 6, 1939 W"
HD1137,birth,1942-?-?,1942-03-26,clean,"b. Mar 26, 1942 W"
H00820,birth,1782-?-?,1782-05-29,clean,"b. May 29, 1782 H"
H00820,death,1843-?-?,1843-08-29,clean,"; d. Aug 29, 1843 M"
H00822,birth,1787-?-?,1787-05-14,clean,"b. May 14, 1787 H"
H00823,birth,1791-?-?,1791-01-30,clean,"b. Jan 30, 1791 H"
H00823,death,1870-?-?,1870-05-22,clean,"; d. May 22, 1870 M"
H00824,birth,1793-?-?,1793-03-09,clean,"b. Mar 9, 1793 H"
H00824,death,1878-?-?,1878-06-21,clean,"; d. Jun 21, 1878 W"
X00343,birth,1778-?-?,1778-05-30,clean,"b. May 30, 1778 L"
X00343,death,1833-?-?,1833-05-23,clean,"; d. May 23, 1833 M"
HD1141,birth,1804-?-?,1804-05-31,clean,"b. May 31, 1804 M"
HD1141,death,1845-?-?,1845-01-26,clean,"; d. Jan 26, 1845 P"
HD1142,birth,1813-?-?,1813-09-13,clean,"b. Sep 13, 1813 M"
HD1142,death,1887-?-?,1887-09-16,clean,"; d. Sep 16, 1887 M"
HD1143,birth,1805-?-?,1805-11-17,clean,"b. Nov 17, 1805;"
HD1143,death,1806-?-?,1806-03-01,clean,"; d. Mar 1, 1806 a"
X00344,birth,1801-?-?,1801-12-22,clean,"b. Dec 22, 1801 A"
HD1145,birth,1832-?-?,1832-01-10,clean,"b. Jan 10, 1832."
X00345,birth,1854-?-?,1854-09-19,clean,"b. Sep 19, 1854 V"
X00345,death,1937-?-?,1937-07-16,clean,"; d. Jul 16, 1937 P"
HD1147,birth,1927-?-?,1927-01-23,clean,"b. Jan 23, 1927 B"
HD1147,death,2011-?-?,2011-02-26,clean,"; d. Feb 26, 2011 L"
X00347,birth,1773-?-?,1773-03-05,clean,"b. Mar 5, 1773 C"
X00347,death,1835-?-?,1835-02-08,clean,"; d. Feb 8, 1835 M"
X00350,birth,1784-?-?,1784-09-09,clean,"b. Sep 9, 1784 N"
X00350,death,1830-?-?,1830-02-17,clean,"; d. Feb 17, 1830 P"
HD1154,birth,1815-?-?,1815-10-22,clean,"b. Oct 22, 1815 P"
HD1154,death,1898-?-?,1898-03-21,clean,"; d. Mar 21, 1898 M"
HD1157,birth,1824-?-?,1824-10-01,clean,"b. Oct 1, 1824 M"
HD1157,death,1889-?-?,1889-08-24,clean,"; d. Aug 24, 1889 M"
HD1159,birth,1858-?-?,1858-05-09,clean,"b. May 9, 1858 W"
HD1159,death,1918-?-?,1918-12-27,clean,"; d. Dec 27, 1918 C"
X00352,birth,1827-?-?,1827-02-28,clean,"b. Feb 28, 1827 A"
HD1160,birth,1857-?-?,1857-10-06,clean,"b. Oct 6, 1857 M"
HD1160,death,1935-?-?,1935-03-27,clean,"; d. Mar 27, 1935 T"
HD1161,birth,1857-?-?,1857-10-06,clean,"b. Oct 6, 1857 I"
HD1161,death,1916-?-?,1916-07-14,clean,"; d. Jul 14, 1916 M"
X00353,birth,1859-?-?,1859-09-16,clean,"b. Sep 16, 1859 E"
X00353,death,1934-?-?,1934-02-23,clean,"; d. Feb 23, 1934 T"
HD1162,birth,1897-?-?,1897-05-18,clean,"b. May 18, 1897 D"
HD1162,death,1965-?-?,1965-08-27,clean,"; d. Aug 27, 1965 E"
X00354,birth,1886-?-?,1886-01-08,clean,"b. Jan 8, 1886 D"
X00354,death,1959-?-?,1959-12-02,clean,"; d. Dec 2, 1959 E"
HD1163,birth,1932-?-?,1932-01-09,clean,"b. Jan 9, 1932 L"
HD1163,death,2006-?-?,2006-09-04,clean,"; d. Sep 4, 2006 L"
X00355,birth,1755-?-?,1755-09-25,clean,"b. Sep 25, 1755 L"
X00355,death,1815-?-?,1815-07-28,clean,"; d. Jul 28, 1815 S"
H00826,birth,1785-?-?,1785-04-06,clean,"b. Apr 6, 1785 L"
H00826,death,1866-?-?,1866-08-27,clean,"; d. Aug 27, 1866 M"
X00357,birth,1787-?-?,1787-01-31,clean,"b. Jan 31, 1787 L"
X00357,death,1855-?-?,1855-08-23,clean,"; d. Aug 23, 1855 M"
HD1164,birth,1811-?-?,1811-07-11,clean,"b. Jul 11, 1811 L"
HD1164,death,1860-?-?,1860-05-04,clean,"; d. May 4, 1860 N"
HD1166,birth,1816-?-?,1816-07-30,clean,"b. Jul 30, 1816 B"
HD1166,death,1884-?-?,1884-02-23,clean,"; d. Feb 23, 1884 H"
HD1168,birth,1822-?-?,1822-04-25,clean,"b. Apr 25, 1822 B"
HD1168,death,1893-?-?,1893-08-05,clean,"; d. Aug 5, 1893 W"
HD1169,birth,1823-?-?,1823-08-02,clean,"b. Aug 2, 1823;"
HD1169,death,1881-?-?,1881-09-17,clean,"; d. Sep 17, 1881 M"
X00359,birth,1813-?-?,1813-04-14,clean,"b. Apr 14, 1813 H"
X00359,death,1890-?-?,1890-04-08,clean,"; d. Apr 8, 1890 M"
HD1170,birth,1837-?-?,1837-04-17,clean,"b. Apr 17, 1837 H"
HD1170,death,1913-?-?,1913-03-31,clean,"; d. Mar 31, 1913 R"
X00360,birth,1845-?-?,1845-05-15,clean,"b. May 15, 1845 U"
X00360,death,1924-?-?,1924-11-16,clean,"; d. Nov 16, 1924."
X00361,birth,1835-?-?,1835-07-05,clean,"b. Jul 5, 1835 A"
X00361,death,1862-?-?,1862-02-17,clean,"; d. Feb 17, 1862 N"
HD1171,birth,1866-?-?,1866-03-10,clean,"b. Mar 10, 1866 H"
HD1171,death,1946-?-?,1946-10-06,clean,"; d. Oct 6, 1946 C"
HD1172,birth,1867-?-?,1867-09-07,clean,"b. Sep 7, 1867 I"
HD1172,death,1943-?-?,1943-03-13,clean,"; d. Mar 13, 1943 B"
HD1173,birth,1870-?-?,1870-07-19,clean,"b. Jul 19, 1870 N"
HD1173,death,1952-?-?,1952-08-05,clean,"; d. Aug 5, 1952 a"
HD1174,birth,1873-?-?,1873-07-25,clean,"b. Jul 25, 1873 H"
HD1174,death,1952-?-?,1952-01-29,clean,"; d. Jan 29, 1952 M"
X00362,birth,1868-?-?,1868-09-30,clean,"b. Sep 30, 1868 B"
X00362,death,1925-?-?,1925-08-14,clean,"; d. Aug 14, 1925 H"
X00363,birth,1822-?-?,1822-06-22,clean,"b. Jun 22, 1822 T"
X00363,death,1856-?-?,1856-08-17,clean,"; d. Aug 17, 1856 W"
HD1176,birth,1847-?-?,1847-08-20,clean,"b. Aug 20, 1847 T"
HD1176,death,1937-?-?,1937-03-25,clean,"; d. Mar 25, 1937 T"
HD1177,death,1939-?-?,1939-07-14,clean,"; d. Jul 14, 1939 O"
HD1178,birth,1864-?-?,1864-02-25,clean,"b. Feb 25, 1864 S"
HD1178,death,1943-?-?,1943-05-23,clean,"; d. May 23, 1943 P"
X00365,birth,1786-?-?,1786-04-22,clean,"b. Apr 22, 1786 C"
X00365,death,1841-?-?,1841-05-16,clean,"; d. May 16, 1841 L"
X00366,birth,1807-?-?,1807-02-15,clean,"b. Feb 15, 1807 W"
HD1181,birth,1835-?-?,1835-11-27,clean,"b. Nov 27, 1835 W"
HD1181,death,1925-?-?,1925-04-29,clean,"; d. Apr 29, 1925 C"
HD1182,death,1918-?-?,1918-07-15,clean,"; d. Jul 15, 1918 T"
HD1184,birth,1838-?-?,1838-05-26,clean,"b. May 26, 1838 W"
HD1184,death,1913-?-?,1913-03-27,clean,"; d. Mar 27, 1913 B"
HD1185,birth,1864-?-?,1864-07-28,clean,"b. Jul 28, 1864 B"
HD1186,birth,1869-?-?,1869-06-22,clean,"b. Jun 22, 1869 W"
HD1187,birth,1897-?-?,1897-04-06,clean,"b. Apr 6, 1897 B"
HD1188,birth,1898-?-?,1898-05-20,clean,"b. May 20, 1898 B"
X00372,birth,1809-?-?,1809-05-10,clean,"b. May 10, 1809 N"
X00372,death,1893-?-?,1893-06-25,clean,"; d. Jun 25, 1893 a"
HD1189,birth,1850-?-?,1850-03-20,clean,"b. Mar 20, 1850 M"
HD1189,death,1882-?-?,1882-06-12,clean,"; d. Jun 12, 1882 a"
HD1190,birth,1853-?-?,1853-08-20,clean,"b. Aug 20, 1853 M"
HD1190,death,1928-?-?,1928-05-05,clean,"; d. May 5, 1928 M"
HD1191,birth,1863-?-?,1863-03-29,clean,"b. Mar 29, 1863 M"
HD1191,death,1905-?-?,1905-03-15,clean,"; d. Mar 15, 1905 S"
HD1192,birth,1849-?-?,1849-08-11,clean,"b. Aug 11, 1849 M"
HD1192,death,1879-?-?,1879-12-06,clean,"; d. Dec 6, 1879 M"
HD1193,death,1952-?-?,1952-06-07,clean,"; d. Jun 7, 1952 M"
HD1194,birth,1878-?-?,1878-11-11,clean,"b. Nov 11, 1878 M"
HD1194,death,1948-?-?,1948-04-15,clean,"; d. Apr 15, 1948 I"
HD1195,birth,1914-?-?,1914-08-21,clean,"b. Aug 21, 1914 I"
HD1195,death,2009-?-?,2009-03-31,clean,"; d. Mar 31, 2009 M"
HD1196,death,1891-?-?,1891-11-01,clean,"; d. Nov 1, 1891 S"
HD1197,birth,1867-?-?,1867-11-17,clean,"b. Nov 17, 1867;"
HD1197,death,1896-?-?,1896-07-17,clean,"; d. Jul 17, 1896 P"
HD1198,birth,1868-?-?,1868-02-08,clean,"b. Feb 8, 1868;"
HD1198,death,1945-?-?,1945-12-23,clean,"; d. Dec 23, 1945 A"
X00375,birth,1844-?-?,1844-10-12,clean,"b. Oct 12, 1844 D"
X00375,death,1918-?-?,1918-08-31,clean,"; d. Aug 31, 1918 A"
HD1199,birth,1872-?-?,1872-12-19,clean,"b. Dec 19, 1872;"
HD1199,death,1873-?-?,1873-07-01,clean,"; d. Jul 1, 1873."
HD1200,birth,1874-?-?,1874-03-26,clean,"b. Mar 26, 1874 T"
HD1200,death,1959-?-?,1959-05-28,clean,"; d. May 28, 1959 M"
HD1201,birth,1877-?-?,1877-10-26,clean,"b. Oct 26, 1877;"
HD1201,death,1883-?-?,1883-07-08,clean,"; d. Jul 8, 1883 a"
HD1202,birth,1884-?-?,1884-07-14,clean,"b. Jul 14, 1884 A"
HD1203,birth,1886-?-?,1886-11-09,clean,"b. Nov 9, 1886 A"
X00376,birth,1871-?-?,1871-05-29,clean,"b. May 29, 1871 T"
HD1204,birth,1905-?-?,1905-12-31,clean,"b. Dec 31, 1905 T"
HD1206,birth,1903-?-?,1903-03-07,clean,"b. Mar 7, 1903 P"
HD1206,death,1985-?-?,1985-04-15,clean,"; d. Apr 15, 1985 P"
HD1207,birth,1906-?-?,1906-02-13,clean,"b. Feb 13, 1906;"
HD1207,death,1956-?-?,1956-10-20,clean,"; d. Oct 20, 1956 a"
HD1209,birth,1869-?-?,1869-01-11,clean,"b. Jan 11, 1869 W"
HD1209,death,1907-?-?,1907-03-15,clean,"; d. Mar 15, 1907 S"
HD1210,birth,1883-?-?,1883-08-15,clean,"b. Aug 15, 1883 T"
HD1211,death,1886-?-?,1886-01-28,clean,"; d. Jan 28, 1886 a"
HD1212,death,1968-?-?,1968-05-08,clean,"; d. May 8, 1968 a"
HD1214,birth,1922-?-?,1922-04-10,clean,"b. Apr 10, 1922 C"
HD1214,death,1982-?-?,1982-07-15,clean,"; d. Jul 15, 1982 L"
X00381,birth,1917-?-?,1917-12-12,clean,"b. Dec 12, 1917 S"
X00381,death,1990-?-?,1990-09-28,clean,"; d. Sep 28, 1990 P"
